gene_id	midas_1EE_S42_Xp_blk	midas_1EM_S18_Xp_blk	midas_1XE_S43_Xp_blk	midas_1XM_S19_Xp_blk	midas_2EE_S44_Xp_blk	midas_2EM_S20_Xp_blk	midas_2XE_S45_Xp_blk	midas_2XM_S21_Xp_blk	midas_3EE_S46_Xp_blk	midas_3EM_S22_Xp_blk	midas_3XE_S47_Xp_blk	midas_3XM_S23_Xp_blk	midas_4EE_S48_Xp_blk	midas_4EM_S24_Xp_blk	midas_4XE_S49_Xp_blk	midas_4XM_S25_Xp_blk	midas_5EE_S50_Xp_blk	midas_5EM_S26_Xp_blk	midas_5XE_S51_Xp_blk	midas_5XM_S27_Xp_blk	midas_6EE_S52_Xp_blk	midas_6EM_S28_Xp_blk	midas_6XE_S53_Xp_blk	midas_6XM_S29_Xp_blk
SUPERPANG_01407	9212	8121	2337	43	9094	8119	1090	393	9266	8293	6166	36	7187	7898	5051	60	8073	5416	2873	347	9938	8761	122	85
SUPERPANG_01408	21439	15650	4807	85	18537	14698	2665	959	19055	15140	12980	122	15759	14943	9212	175	16960	10722	5668	757	20741	16596	386	151
SUPERPANG_01409	11437	9299	2813	45	10982	8812	1252	559	10280	9174	7222	26	8626	8968	5584	95	8829	6208	2948	386	11160	10036	173	72
SUPERPANG_01410	18694	15021	4864	112	17469	13501	2049	710	16709	14307	11920	43	14424	14748	8810	116	14172	10120	4670	605	17882	16113	240	150
SUPERPANG_01411	8802	7966	2528	69	8820	7111	1199	413	8383	7169	5885	24	7575	7425	4614	59	7658	5205	3021	343	9584	8122	203	80
SUPERPANG_01412	14981	10896	3542	81	12761	10257	1830	644	14582	10546	9328	29	10869	10578	6497	90	11530	7458	4281	429	14433	12059	264	87
SUPERPANG_01413	8101	5154	1718	31	6312	4873	842	306	8936	5160	4817	24	5581	5023	2944	44	6109	3542	2545	208	7411	5882	125	45
SUPERPANG_01414	7925	6261	2004	29	7869	5881	882	347	8887	6351	4996	22	6217	6203	3691	39	6910	4308	2839	272	8154	6558	117	63
SUPERPANG_01415	1134	1462	383	12	1463	1381	159	67	1568	1538	698	2	1172	1351	907	14	1375	936	561	56	1628	1309	27	7
SUPERPANG_01416	5668	7154	1871	46	7349	6554	827	355	6500	6890	3700	17	6160	6791	4186	62	5998	4461	2300	311	7506	6709	151	71
SUPERPANG_01417	5568	5400	1618	27	6021	4676	550	266	4959	4916	3171	16	5023	4931	3081	36	4243	3593	1676	194	5449	5303	101	49
SUPERPANG_01418	908	983	279	5	1113	842	100	32	791	879	653	3	871	919	524	11	847	649	291	33	924	983	22	7
SUPERPANG_01419	12301	13173	3463	110	13905	12581	1692	793	12488	12389	8125	291	11663	12993	8151	204	12025	8582	4805	495	13448	13115	356	156
SUPERPANG_01420	8215	7896	2302	49	9002	7166	1004	423	8477	7645	6161	26	7458	7794	4605	49	7648	5418	3052	314	8027	7987	120	106
SUPERPANG_01421	4508	4395	1226	20	4597	3827	614	208	4123	4257	3189	9	4035	4390	2578	39	4114	2992	1404	169	4325	4278	133	33
SUPERPANG_01422	35189	29747	8397	164	33762	28002	4154	1653	25956	28810	23664	132	27590	28792	17700	209	28877	20126	8521	1208	26878	31286	507	305
SUPERPANG_01423	10172	8419	2433	35	11130	7555	1486	477	10679	7564	6473	34	8166	7439	5257	68	8782	5556	2600	322	11718	8625	204	79
SUPERPANG_01424	6557	3874	1203	14	5666	3633	793	223	6561	3645	3606	14	4698	3803	2410	28	5391	2744	1175	203	6407	4105	78	44
SUPERPANG_01425	6868	4394	1346	35	6637	4288	955	291	7188	4377	4133	14	5145	4549	2882	17	5726	3407	1502	188	6988	4931	136	53
SUPERPANG_01426	6527	4550	1324	24	6303	4477	893	278	7106	4420	4093	14	5022	4427	3131	28	5720	3187	1619	182	6879	4813	99	52
SUPERPANG_01427	1228	856	227	2	1154	734	136	54	1359	792	712	3	1027	846	566	2	1078	674	307	35	1167	849	10	14
SUPERPANG_01428	3974	2825	777	3	3912	2593	487	194	4521	2495	2580	7	3007	2634	1753	16	3641	1934	1041	106	4305	2814	56	20
SUPERPANG_01429	22157	13940	4287	104	19694	12989	2684	868	26236	13125	13052	60	15916	13611	8980	143	17921	9961	8030	606	24736	15003	338	123
SUPERPANG_01430	6098	3960	1188	18	5341	3402	741	243	6709	3828	3253	11	4215	3723	2459	25	5095	2649	1769	185	6489	4248	89	27
SUPERPANG_01431	4837	2990	880	14	4411	2684	528	154	5344	2821	2489	2	3434	2645	2050	23	4063	2007	1268	120	5042	3259	72	32
SUPERPANG_01432	13174	7824	2501	35	10921	7453	1563	526	14723	6679	6889	21	9338	7578	4939	60	10397	5457	3053	311	13728	8627	178	77
SUPERPANG_01433	11183	8308	2648	36	10747	8054	1439	508	11656	7599	7161	43	8067	7683	5162	60	9080	5545	2642	366	12257	8737	107	77
SUPERPANG_01434	5518	4352	1180	41	5544	3979	716	284	6106	3881	3400	11	4066	4047	2955	48	4968	2943	1578	232	6545	4508	67	52
SUPERPANG_01435	22180	12545	3947	106	18127	11646	2607	656	26550	11711	11713	47	15015	11948	8241	54	16853	8817	6838	534	24069	13932	243	130
SUPERPANG_01436	20457	12486	3970	58	17887	11396	2474	707	25710	11657	11592	36	14982	11690	7781	73	16193	8423	6941	549	22818	13327	301	121
SUPERPANG_01437	9055	9891	2430	84	11407	9768	1514	591	12657	9328	6743	38	9186	9779	6832	91	10906	6823	4190	451	14483	9458	217	103
SUPERPANG_01438	11258	7875	2848	38	11942	7487	1510	504	12653	7579	7344	16	9326	8066	5163	34	9844	5723	2919	369	12723	8989	145	94
SUPERPANG_01439	238	200	49	1	270	202	31	11	301	179	112	1	194	189	153	1	292	138	69	4	341	166	7	6
SUPERPANG_01440	136	113	41	1	136	110	36	14	220	117	69	7	122	116	86	4	154	72	57	3	229	110	10	1
SUPERPANG_01441	3708	2400	795	15	3495	2120	497	150	4579	2337	2225	10	2804	2410	1637	19	2902	1642	917	106	4170	2727	44	17
SUPERPANG_01442	394	254	77	2	363	228	70	24	472	226	227	1	314	246	177	4	353	174	109	9	468	325	7	2
SUPERPANG_01443	1012	994	298	6	1260	1037	177	75	907	978	709	7	913	921	716	16	825	708	256	33	1030	987	37	10
SUPERPANG_01444	937	979	316	3	1258	879	98	68	811	957	635	12	949	933	704	5	895	690	260	46	964	1030	14	18
SUPERPANG_01445	4514	4846	1266	21	6054	4491	835	354	4267	4472	3309	46	4659	4749	3510	88	4308	3159	1295	206	5009	4864	92	83
SUPERPANG_01446	1002	873	274	5	1120	867	152	73	888	849	681	4	870	859	603	7	913	626	243	45	963	936	23	10
SUPERPANG_01447	3997	2774	968	14	3959	2391	474	186	2914	2540	2402	4	3308	2688	1821	22	2950	1920	782	150	2911	2931	31	37
SUPERPANG_01448	10139	8169	2695	40	10951	7711	1306	512	8194	7682	6587	28	8916	7807	5825	91	8807	5540	2296	391	8867	8113	133	65
SUPERPANG_01449	4917	4377	1446	18	5871	4251	487	346	4657	4054	3070	17	4555	4211	3022	38	4093	2961	1118	231	4951	4513	47	52
SUPERPANG_01450	7784	7884	2574	45	10081	7673	1022	517	8784	7208	4872	22	7565	7496	5429	50	7266	5199	2211	367	9560	7993	94	93
